SHOP_CODE,EQPT,AGENCY_CODE,DELAY_FREQ,REMARKS_CATEGORY,DELAY_DURN,MONTH,SEASON
8,MILL,C,1.0,Maintenance,0.2,3,Summer
2,OT-1,ID,1.0,Operational Delay,1.45,3,Summer
6,CCM-6,O,1.0,Others,2.4,3,Summer
9,MILL,O,1.0,Others,0.15,3,Summer
5,PCM,ID,1.0,Operational Delay,8.0,3,Summer
2,BRC,SD,1.0,Shutdown,8.45,3,Summer
6,CCM-5,O,1.0,Others,8.45,3,Summer
2,LOCP,SD,1.0,Shutdown,8.45,3,Summer
2,OT-1,MIS,1.0,Others,2.0,3,Summer
2,OT-3,C,1.0,Others,0.45,3,Summer
7,BAR MILL,SD,1.0,Others,4.0,3,Summer
6,CONV-B,O,1.0,Others,1.0,3,Summer
6,CONV-B,O,1.0,Others,1.2,3,Summer
2,OT-3,C,1.0,Others,0.45,3,Summer
2,OT-2,MIS,1.0,Operational Delay,1.55,3,Summer
2,OT-3,ID,1.0,Operational Delay,2.0,3,Summer
8,MILL,C,1.0,Others,0.25,3,Summer
9,MILL,O,1.0,Others,0.15,3,Summer
5,PCM,C,1.0,Others,4.0,3,Summer
5,PCM,C,1.0,Others,4.0,3,Summer
5,PCM,C,1.0,Others,2.0,3,Summer
5,PCM,ID,1.0,Operational Delay,6.0,3,Summer
5,PCM,ID,1.0,Operational Delay,4.0,3,Summer
7,BILLET MIL,C,1.0,Others,0.15,3,Summer
5,F/C-1,O,1.0,Others,1.25,3,Summer
9,MILL,C,1.0,Production Change,0.2,3,Summer
9,MILL,O,1.0,Others,0.1,3,Summer
8,MILL,C,1.0,Others,0.15,3,Summer
9,MILL,O,1.0,Others,0.15,3,Summer
5,F/C-2,O,1.0,Others,0.3,3,Summer
7,BILLET MIL,C,1.0,Others,0.45,3,Summer
7,BILLET MIL,C,1.0,Others,0.15,3,Summer
7,BAR MILL,MIS,1.0,Others,0.1,3,Summer
8,MILL,C,1.0,Others,0.1,3,Summer
1,CT-2,ID,1.0,Operational Delay,21.4,3,Summer
7,BILLET MIL,C,1.0,Maintenance,0.15,3,Summer
7,BAR MILL,MIS,1.0,Others,0.3,3,Summer
7,BILLET MIL,C,1.0,Others,0.3,3,Summer
8,MILL,C,1.0,Maintenance,0.25,3,Summer
7,BAR MILL,C,1.0,Production Change,0.4,3,Summer
9,MILL,C,1.0,Production Change,0.3,3,Summer
6,CCM-1,ID,1.0,Operational Delay,3.2,3,Summer
6,CCM-2,ID,1.0,Operational Delay,10.2,3,Summer
6,CCM-4,ID,1.0,Operational Delay,4.3,3,Summer
6,CCM-4,SD,1.0,Shutdown,11.3,3,Summer
2,OT-3,ID,1.0,Operational Delay,0.1,3,Summer
1,CT-1,ID,1.0,Operational Delay,16.5,3,Summer
1,CT-1,C,1.0,Others,0.25,3,Summer
2,OT-3,C,1.0,Others,0.3,3,Summer
2,OT-1,S,1.0,Others,0.2,3,Summer
2,OT-3,S,1.0,Others,1.0,3,Summer
2,OT-2,MIS,1.0,Operational Delay,6.0,3,Summer
6,CONV-A,O,1.0,Others,0.35,3,Summer
15,FK-4,ID,1.0,Operational Delay,24.0,3,Summer
2,OT-3,ID,1.0,Operational Delay,1.15,3,Summer
15,FK-5,ID,1.0,Operational Delay,24.0,3,Summer
6,CCM-2,ID,1.0,Operational Delay,6.45,3,Summer
6,CCM-5,SD,1.0,Shutdown,5.3,3,Summer
2,OT-1,C,1.0,Others,0.45,3,Summer
8,MILL,C,1.0,Others,0.2,3,Summer
8,MILL,C,1.0,Maintenance,0.1,3,Summer
6,CONV-A,O,1.0,Others,0.25,3,Summer
6,CONV-B,SD,1.0,Others,4.0,3,Summer
5,PCM,ID,1.0,Operational Delay,4.0,3,Summer
2,OT-2,ID,1.0,Operational Delay,0.3,3,Summer
2,OT-1,O,1.0,Others,0.3,3,Summer
1,CT-1,ID,1.0,Operational Delay,0.2,3,Summer
7,BAR MILL,SD,1.0,Others,4.0,3,Summer
2,OT-1,ID,1.0,Operational Delay,0.55,3,Summer
2,OT-1,C,1.0,Others,0.3,3,Summer
7,BAR MILL,C,1.0,Production Change,0.4,3,Summer
7,BAR MILL,C,1.0,Production Change,0.4,3,Summer
7,BILLET MIL,C,1.0,Others,0.3,3,Summer
2,BRC,SD,1.0,Shutdown,9.0,3,Summer
5,PCM,ID,1.0,Operational Delay,4.0,3,Summer
4,M/C-2,M,1.0,Others,0.2,3,Summer
4,M/C-1,M,1.0,Others,0.15,3,Summer
9,MILL,O,1.0,Others,0.3,3,Summer
9,MILL,SD,1.0,Others,2.0,3,Summer
7,BAR MILL,SD,1.0,Others,4.0,3,Summer
7,BAR MILL,SD,1.0,Others,4.0,3,Summer
4,M/C-2,M,1.0,Others,0.3,3,Summer
4,M/C-1,M,1.0,Others,0.3,3,Summer
4,M/C-2,MIS,1.0,Conveyor Failure,0.45,3,Summer
4,M/C-1,MIS,1.0,Conveyor Failure,0.45,3,Summer
5,BHS,M,1.0,Others,0.45,3,Summer
9,MILL,O,1.0,Others,0.3,3,Summer
5,PCM,ID,1.0,Operational Delay,2.0,3,Summer
5,PCM,ID,1.0,Operational Delay,4.0,3,Summer
5,PCM,C,1.0,Others,4.0,3,Summer
5,PCM,C,1.0,Others,4.0,3,Summer
5,PCM,ID,1.0,Operational Delay,2.0,3,Summer
2,WBRC,SD,1.0,Shutdown,5.3,3,Summer
2,OT-3,ID,1.0,Operational Delay,7.5,3,Summer
9,MILL,C,1.0,Production Change,0.2,3,Summer
9,MILL,M,1.0,Others,0.15,3,Summer
5,PCM,ID,1.0,Operational Delay,4.0,3,Summer
2,OT-1,ID,1.0,Operational Delay,2.1,3,Summer
9,MILL,O,1.0,Others,0.45,3,Summer
6,CCM-6,ID,1.0,Operational Delay,8.0,3,Summer
8,MILL,M,1.0,Others,0.2,3,Summer
8,MILL,M,1.0,Others,0.2,3,Summer
8,MILL,O,1.0,Others,0.15,3,Summer
8,MILL,O,1.0,Others,0.3,3,Summer
8,MILL,C,1.0,Others,0.15,3,Summer
8,MILL,C,1.0,Others,0.15,3,Summer
6,CONV-A,O,1.0,Others,0.35,3,Summer
6,CONV-B,O,1.0,Others,0.35,3,Summer
6,CONV-A,O,1.0,Others,0.25,3,Summer
6,CCM-6,O,1.0,Conveyor Failure,1.25,3,Summer
9,MILL,C,1.0,Others,0.3,3,Summer
7,BAR MILL,C,1.0,Others,0.4,3,Summer
7,BILLET MIL,C,1.0,Maintenance,0.15,3,Summer
4,M/C-2,E,1.0,Others,0.15,3,Summer
4,M/C-2,MIS,1.0,Conveyor Failure,0.15,3,Summer
4,M/C-1,MIS,1.0,Conveyor Failure,0.15,3,Summer
7,BAR MILL,C,1.0,Maintenance,0.15,3,Summer
7,BILLET MIL,C,1.0,Others,0.3,3,Summer
8,MILL,SD,1.0,Others,3.15,3,Summer
4,M/C-1,M,1.0,Others,0.15,3,Summer
8,MILL,E,1.0,Others,0.05,3,Summer
7,BAR MILL,C,1.0,Production Change,0.4,3,Summer
15,TBDB PLANT,ID,1.0,Operational Delay,16.0,3,Summer
7,BILLET MIL,C,1.0,Others,0.3,3,Summer
7,BILLET MIL,C,1.0,Maintenance,0.15,3,Summer
7,BAR MILL,C,1.0,Others,0.4,3,Summer
8,MILL,E,1.0,Others,0.4,3,Summer
4,M/C-1,M,1.0,Others,0.15,3,Summer
5,PCM,C,1.0,Others,4.0,3,Summer
2,OT-3,C,1.0,Others,0.35,3,Summer
2,OT-1,C,1.0,Others,0.4,3,Summer
2,OT-2,C,1.0,Production Change,1.3,3,Summer
2,OT-2,O,1.0,Others,2.0,3,Summer
1,CT-2,ID,1.0,Operational Delay,0.3,3,Summer
2,OT-2,ID,1.0,Operational Delay,2.3,3,Summer
2,LOCP,E,1.0,Others,5.2,3,Summer
6,CCM-2,O,1.0,Others,7.0,3,Summer
1,CT-2,ID,1.0,Operational Delay,6.5,3,Summer
1,CT-2,C,1.0,Others,0.4,3,Summer
2,OT-3,ID,1.0,Operational Delay,5.1,3,Summer
2,OT-2,C,1.0,Others,0.3,3,Summer
6,CCM-2,ID,1.0,Operational Delay,5.45,3,Summer
1,CT-1,ID,1.0,Operational Delay,14.35,3,Summer
2,OT-1,ID,1.0,Operational Delay,6.3,3,Summer
6,CONV-B,O,1.0,Others,0.15,3,Summer
2,OT-1,C,1.0,Others,0.3,3,Summer
15,TBDB PLANT,SD,1.0,Shutdown,8.0,3,Summer
15,FK-5,ID,1.0,Operational Delay,24.0,3,Summer
6,CCM-5,SD,1.0,Shutdown,24.0,3,Summer
6,CCM-4,ID,1.0,Operational Delay,6.2,3,Summer
2,OT-2,C,1.0,Production Change,0.3,3,Summer
1,CT-1,ID,1.0,Operational Delay,4.35,3,Summer
15,FK-4,ID,1.0,Operational Delay,24.0,3,Summer
15,FK-3,ID,1.0,Operational Delay,6.0,3,Summer
6,CONV-C,SD,1.0,Shutdown,24.0,3,Summer
4,M/C-1,MIS,1.0,Conveyor Failure,0.2,3,Summer
4,M/C-2,MIS,1.0,Conveyor Failure,0.2,3,Summer
9,MILL,O,1.0,Others,0.3,3,Summer
6,CONV-A,O,1.0,Others,0.15,3,Summer
6,CONV-B,O,1.0,Others,0.2,3,Summer
2,OT-1,ID,1.0,Operational Delay,0.2,3,Summer
2,OT-1,C,1.0,Others,0.15,3,Summer
1,CT-2,ID,1.0,Operational Delay,6.5,3,Summer
1,CT-1,C,1.0,Others,0.25,3,Summer
9,MILL,C,1.0,Production Change,0.3,3,Summer
9,MILL,C,1.0,Production Change,0.3,3,Summer
4,M/C-2,E,1.0,Others,0.15,3,Summer
5,PCM,ID,1.0,Operational Delay,2.0,3,Summer
4,M/C-2,MIS,1.0,Conveyor Failure,0.2,3,Summer
8,MILL,C,1.0,Maintenance,0.1,3,Summer
4,M/C-1,MIS,1.0,Conveyor Failure,0.2,3,Summer
9,MILL,C,1.0,Others,0.3,3,Summer
5,PCM,C,1.0,Others,4.0,3,Summer
1,CT-2,ID,1.0,Operational Delay,3.3,3,Summer
5,PCM,ID,1.0,Operational Delay,6.0,3,Summer
5,PCM,C,1.0,Others,4.0,3,Summer
7,BAR MILL,C,1.0,Production Change,0.4,3,Summer
7,BILLET MIL,C,1.0,Others,0.3,3,Summer
7,BILLET MIL,C,1.0,Maintenance,0.15,3,Summer
3,CPP,SD,1.0,Shutdown,5.0,3,Summer
1,CT-2,C,1.0,Others,1.15,3,Summer
1,CT-2,C,1.0,Others,0.3,3,Summer
1,CT-1,C,1.0,Others,0.25,3,Summer
2,LOCP,SD,1.0,Shutdown,1.0,3,Summer
5,PCM,C,1.0,Others,4.0,3,Summer
2,OT-3,C,1.0,Others,0.5,3,Summer
2,BRC,SD,1.0,Shutdown,10.0,3,Summer
2,OT-2,ID,1.0,Operational Delay,3.55,3,Summer
2,OT-3,ID,1.0,Operational Delay,4.15,3,Summer
2,OT-1,ID,1.0,Operational Delay,3.3,3,Summer
2,OT-1,C,1.0,Others,0.3,3,Summer
5,PCM,C,1.0,Others,4.0,3,Summer
3,CPP,E,1.0,Others,1.15,3,Summer
7,BAR MILL,C,1.0,Production Change,0.4,3,Summer
7,BAR MILL,C,1.0,Production Change,0.4,3,Summer
7,BILLET MIL,O,1.0,Others,0.15,3,Summer
7,BILLET MIL,C,1.0,Maintenance,0.15,3,Summer
6,CONV-A,O,1.0,Others,0.2,3,Summer
6,CONV-A,O,1.0,Others,0.35,3,Summer
6,CONV-B,O,1.0,Others,0.3,3,Summer
5,BHS,SD,1.0,Shutdown,4.0,3,Summer
5,PCM,ID,1.0,Operational Delay,8.0,3,Summer
5,PCM,C,1.0,Others,4.0,3,Summer
5,PCM,ID,1.0,Operational Delay,3.0,3,Summer
4,M/C-2,M,1.0,Others,0.15,3,Summer
4,M/C-2,MIS,1.0,Conveyor Failure,0.15,3,Summer
8,MILL,C,1.0,Maintenance,0.2,3,Summer
2,OT-3,MIS,1.0,Operational Delay,5.0,3,Summer
9,MILL,C,1.0,Others,0.3,3,Summer
9,MILL,O,1.0,Others,0.2,3,Summer
6,CONV-A,O,1.0,Others,0.35,3,Summer
1,CT-1,C,1.0,Production Change,0.4,3,Summer
8,MILL,C,1.0,Others,0.15,3,Summer
1,CT-2,C,1.0,Others,0.1,3,Summer
2,OT-3,MIS,1.0,Others,1.35,3,Summer
2,OT-2,M,1.0,Others,0.55,3,Summer
2,OT-1,SD,1.0,Others,1.15,3,Summer
2,OT-3,C,1.0,Others,0.45,3,Summer
2,OT-1,C,1.0,Others,0.45,3,Summer
1,CT-1,C,1.0,Production Change,1.0,3,Summer
1,CT-2,C,1.0,Others,0.25,3,Summer
8,MILL,C,1.0,Maintenance,0.15,3,Summer
4,M/C-2,E,1.0,Others,0.3,3,Summer
4,RMB,MS,1.0,Others,1.0,3,Summer
6,CONV-B,O,1.0,Others,0.2,3,Summer
7,BILLET MIL,C,1.0,Maintenance,0.15,3,Summer
7,BAR MILL,C,1.0,Production Change,0.4,3,Summer
8,MILL,C,1.0,Maintenance,0.1,3,Summer
8,MILL,M,1.0,Others,0.1,3,Summer
